pos_xy,00:0f:a3:39:dd:cd,00:0f:a3:39:e1:c0,00:14:bf:3b:c7:c6,00:14:bf:b1:97:81,00:14:bf:b1:97:8a,00:14:bf:b1:97:8d,00:14:bf:b1:97:90
0.0-0.05,-63.19266055045872,-52.22727272727273,-62.94897959183673,-61.81395348837209,-40.06896551724138,-63.05434782608695,-55.233333333333334
0.15-9.42,-66.11926605504587,-55.27522935779817,-73.96190476190476,-72.70103092783505,-47.56603773584906,-69.45454545454545,-46.88
0.31-11.09,-67.02912621359224,-51.70909090909091,-70.0625,-70.0989010989011,-54.088235294117645,-69.13157894736842,-53.88659793814433
0.47-8.2,-74.13636363636364,-49.5,-64.27173913043478,-72.59770114942529,-45.65289256198347,-60.79746835443038,-49.3469387755102
0.78-10.94,-71.47,-53.263636363636365,-66.96,-66.81927710843374,-48.41379310344828,-65.0,-54.824742268041234
0.93-11.69,-70.17777777777778,-57.96363636363636,-70.54807692307692,-70.52564102564102,-43.66346153846154,-65.59302325581395,-47.270833333333336
1.08-12.19,-73.43636363636364,-54.82727272727273,-69.20192307692308,-67.92553191489361,-52.00819672131148,-71.58695652173913,-51.666666666666664
1.24-3.93,-71.08490566037736,-56.472727272727276,-69.62745098039215,-59.76136363636363,-38.91752577319588,-71.66666666666667,-53.233333333333334
1.39-6.61,-59.75675675675676,-51.28181818181818,-62.23913043478261,-64.5679012345679,-48.923809523809524,-60.7979797979798,-50.490566037735846
1.52-9.32,-65.42574257425743,-50.36697247706422,-63.366336633663366,-67.48913043478261,-50.041666666666664,-65.09302325581395,-49.385416666666664
1.55-0.96,-68.06481481481481,-49.177570093457945,-66.06818181818181,-57.69318181818182,-42.99038461538461,-63.526315789473685,-50.04
1.58-5.26,-72.00934579439253,-50.58181818181818,-64.66666666666667,-57.427083333333336,-40.509803921568626,-61.977777777777774,-62.455555555555556
1.71-1.81,-65.6082474226804,-54.27272727272727,-61.757894736842104,-66.12087912087912,-37.01,-64.33720930232558,-53.27450980392157
1.86-8.08,-66.74528301886792,-54.38532110091743,-62.06382978723404,-62.98795180722892,-50.58252427184466,-51.38461538461539,-49.96078431372549
10.23-6.88,-57.654545454545456,-45.836363636363636,-58.294736842105266,-59.21348314606742,-58.57142857142857,-50.104166666666664,-67.5609756097561
10.46-5.8,-64.90291262135922,-44.527272727272724,-52.602409638554214,-57.56382978723404,-58.17204301075269,-58.74444444444445,-65.35227272727273
10.62-3.87,-66.44545454545455,-48.10909090909091,-45.98039215686274,-46.01111111111111,-59.403361344537814,-61.27272727272727,-68.40697674418605
10.99-7.19,-61.035714285714285,-44.75454545454546,-49.816326530612244,-56.662921348314605,-56.387387387387385,-55.7816091954023,-66.21428571428571
11.39-5.0,-64.31531531531532,-54.018181818181816,-48.89010989010989,-59.764044943820224,-58.79047619047619,-58.357894736842105,-74.37078651685393
11.76-7.76,-65.18095238095238,-48.472727272727276,-54.76767676767677,-59.32967032967033,-57.10891089108911,-54.22549019607843,-67.02941176470588
12.16-5.25,-69.2,-52.30275229357798,-49.903614457831324,-59.160493827160494,-52.58620689655172,-56.691489361702125,-67.09876543209876
12.18-3.4,-65.15533980582525,-50.25454545454546,-45.47727272727273,-55.191489361702125,-59.09574468085106,-60.808510638297875,-76.47674418604652
12.26-6.72,-57.22429906542056,-51.663636363636364,-50.56818181818182,-58.853932584269664,-56.63636363636363,-46.177083333333336,-68.67021276595744
12.55-7.38,-59.20183486238532,-41.669724770642205,-52.32941176470588,-58.08791208791209,-62.24038461538461,-51.67326732673267,-68.34939759036145
12.95-5.25,-72.7864077669903,-50.14545454545455,-47.92929292929293,-56.7816091954023,-57.38260869565217,-58.03191489361702,-69.4
14.98-7.55,-65.35514018691589,-53.22727272727273,-53.62376237623762,-53.06122448979592,-66.53086419753086,-44.18279569892473,-77.1413043478261
16.44-7.45,-68.66666666666667,-53.45454545454545,-58.226190476190474,-52.747252747252745,-58.28260869565217,-45.522222222222226,-68.65934065934066
2.02-7.45,-63.07692307692308,-55.44954128440367,-66.26804123711341,-66.16867469879519,-48.09345794392523,-57.967032967032964,-58.68817204301075
2.49-7.6,-69.53703703703704,-58.74074074074074,-65.2967032967033,-67.35955056179775,-43.861111111111114,-62.644444444444446,-44.716981132075475
21.23-5.47,-80.01769911504425,-57.21818181818182,-62.326530612244895,-50.75,-62.22105263157895,-50.95505617977528,-79.1413043478261
21.3-3.8,-77.16666666666667,-60.18018018018018,-61.651162790697676,-44.22222222222222,-67.09278350515464,-56.422222222222224,-78.50925925925925
21.45-6.62,-71.64285714285714,-53.60909090909091,-60.329268292682926,-49.986666666666665,-60.42857142857143,-41.11363636363637,-70.95180722891567
21.6-7.63,-75.2,-54.54545454545455,-61.39772727272727,-52.94186046511628,-72.8804347826087,-50.27472527472528,-80.23913043478261
21.98-7.46,-66.67619047619047,-53.25,-61.7752808988764,-53.83695652173913,-60.47863247863248,-52.13978494623656,-76.53658536585365
22.3-6.36,-79.3305785123967,-61.86363636363637,-60.09090909090909,-51.77906976744186,-64.20652173913044,-47.46739130434783,-77.80459770114942
22.38-3.94,-75.4,-57.570093457943926,-61.142857142857146,-52.61797752808989,-58.395348837209305,-49.4367816091954,-73.38372093023256
22.76-5.06,-82.8,-57.642201834862384,-61.10989010989011,-53.14736842105263,-61.75268817204301,-49.979166666666664,-76.52808988764045
23.24-7.5,-79.49038461538461,-56.481818181818184,-59.52873563218391,-53.79347826086956,-65.22772277227723,-56.66315789473684,-69.67391304347827
23.36-3.4,-73.24770642201835,-58.638888888888886,-57.638297872340424,-53.0,-54.157407407407405,-54.28735632183908,-73.4235294117647
23.53-4.22,-78.25490196078431,-58.850467289719624,-63.76744186046512,-50.84705882352941,-56.97752808988764,-55.406976744186046,-78.16091954022988
23.9-7.0,-78.04854368932038,-57.51851851851852,-61.71264367816092,-54.16494845360825,-64.83333333333333,-58.33734939759036,-69.24468085106383
24.31-3.89,-75.6952380952381,-55.38181818181818,-58.1505376344086,-52.494505494505496,-65.45652173913044,-54.35,-78.72164948453609
24.7-7.7,-76.48514851485149,-55.95412844036697,-63.50561797752809,-56.61538461538461,-70.97979797979798,-44.89010989010989,-75.45977011494253
25.23-7.78,-75.50980392156863,-54.642201834862384,-66.39583333333333,-53.67032967032967,-67.12745098039215,-47.3469387755102,-73.7127659574468
25.76-7.34,-79.20370370370371,-57.54205607476636,-68.36666666666666,-52.56818181818182,-63.5,-45.032967032967036,-77.08602150537635
26.71-7.5,-75.61682242990655,-57.93636363636364,-66.93827160493827,-48.829787234042556,-68.05555555555556,-47.25242718446602,-75.82558139534883
28.12-7.57,-78.03669724770643,-56.596330275229356,-64.27272727272727,-53.96739130434783,-68.77551020408163,-53.68421052631579,-70.62
29.58-7.93,-84.17241379310344,-53.79090909090909,-69.3132530120482,-48.34736842105263,-68.84,-49.95744680851064,-75.66315789473684
3.44-7.43,-62.41904761904762,-51.23148148148148,-63.43333333333333,-62.395348837209305,-51.42857142857143,-52.05940594059406,-60.42391304347826
31.06-7.19,-80.48275862068965,-56.129629629629626,-70.8974358974359,-45.40860215053763,-62.20652173913044,-39.362637362637365,-79.6987951807229
31.78-7.62,-78.09615384615384,-54.9,-65.62105263157895,-49.38823529411765,-65.94573643410853,-45.449438202247194,-76.63366336633663
32.16-7.08,-82.44705882352942,-59.01851851851852,-70.23762376237623,-44.57303370786517,-69.33620689655173,-37.55339805825243,-77.0327868852459
32.54-7.08,-79.45882352941176,-53.97222222222222,-65.0,-53.78260869565217,-68.54639175257732,-32.8494623655914,-71.63953488372093
4.51-7.63,-64.25471698113208,-48.88181818181818,-65.47422680412372,-65.15217391304348,-50.73134328358209,-62.292682926829265,-60.148514851485146
6.0-7.88,-66.00934579439253,-47.75229357798165,-57.37362637362637,-58.78481012658228,-51.07,-54.4,-61.72289156626506
7.48-7.36,-62.83653846153846,-43.56880733944954,-59.62765957446808,-61.54347826086956,-52.706422018348626,-59.795698924731184,-63.747126436781606
8.56-7.64,-54.3177570093458,-46.19266055045872,-53.829268292682926,-61.15555555555556,-55.950980392156865,-56.65217391304348,-66.17582417582418
9.08-7.24,-55.549549549549546,-48.30275229357798,-53.666666666666664,-58.096385542168676,-59.20652173913044,-57.08433734939759,-65.3265306122449
9.46-7.77,-61.41489361702128,-45.481818181818184,-49.7,-61.188235294117646,-60.76086956521739,-49.34117647058824,-71.11881188118812
9.86-3.88,-65.46296296296296,-55.30909090909091,-44.13131313131313,-52.63333333333333,-55.94,-55.949367088607595,-65.46153846153847
